username,nome_completo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,bio,n_publicacoes,n_seguidores,n_seguindo,link_externo,verificado,status_conta,foto_perfil,categoria,nome_completo,conta_comercial,destaque_stories,posts_recentes,engajamento_medio
skatianaalvesdos,,False,,0,fazendeeira.csv,2025-08-02,1,skatianaalvesdos 0 0 29 29 69 69 katiana Alves dos santos,0,0,29,,False,Pública,0,,,False,0,0,0
zildacoelhor,,False,,0,fazendeeira.csv,2025-08-02,1,zildacoelhor 1 1 226 226 621 621 Zilda Coelho Rodrigues Conta nova* Perdi a antiga! Zilda Coelho Rodrigues Conta nova* Perdi a antiga!,1,1,226,,False,Pública,0,,,False,0,0,0
aluh_santtos21,,False,,0,fazendeeira.csv,2025-08-02,1,aluh_santtos21 3 3 245 245 1.298 1.298 analuh Criador(a) de conteúdo digital •CATÓLICA ✝️ •MG📌 •18y✨️ analuh Criador(a) de conteúdo digital •CATÓLICA ✝️ •MG📌 •18y✨️,3,3,245,,False,Pública,0,,,False,0,0,0
_nalu_szw,,False,,0,fazendeeira.csv,2025-08-02,1,_nalu_szw 6 6 626 626 442 442 Ana Luiza °Cruz sacra sit mihi lux °carrego a glória e a dor de viver do meu jeito °🐴🔰 Ana Luiza °Cruz sacra sit mihi lux °carrego a glória e a dor de viver do meu jeito °🐴🔰,6,6,626,,False,Pública,0,,,False,0,0,0
rubia_ugolini,,False,Seguir,0,fazendeeira.csv,2025-08-02,1,rubia_ugolini 4 4 335 335 1.043 1.043 𝕽𝖀𝕭𝖄 salmos. 18 | 🪶🇧🇷💭 Londrina ' 43 ★ R. pics R. pics,4,4,335,https://www.threads.com/@rubia_ugolini?xmt=AQF0OWVlR9m9T-noE0DHv-gE9GxLkWLTP8Hbdt6mqJA58OU,False,Pública,0,,,False,0,0,0
sid.guedes,,False,Seguir,0,fazendeeira.csv,2025-08-02,1,sid.guedes 120 120 1.394 1.394 743 743 Sidnei Guedes Destaques Destaques Destaques,120,120,1394,https://www.threads.com/@sid.guedes?xmt=AQF03tgTwJYODXl0Vhg_j5GAN6IDqaPjQt53oPIpEuNTp1Q,False,Pública,0,,,False,0,0,0
marialuciaazevedo626,,False,Seguir,0,fazendeeira.csv,2025-08-02,1,marialuciaazevedo626 9 9 98 98 1.833 1.833 Marialucia Azevedo Maria lucia tempeiros orgânico. Marialucia Azevedo Maria lucia tempeiros orgânico.,9,9,98,,False,Pública,0,,,False,0,0,0
aguinaldosantossouza,,False,Seguir,0,fazendeeira.csv,2025-08-02,1,aguinaldosantossouza 74 74 166 166 3.058 3.058 Aguinaldo Santos Souza Senac Sorocaba Destaques Senac Sorocaba Destaques,74,74,166,https://www.threads.com/@aguinaldosantossouza?xmt=AQF09z2Scf3qc-pA8iN3AL2PcP6X9PrJ5C1gYbYTt8bRmlE,False,Pública,0,,,False,0,0,0
almeidawedyson,,False,,0,fazendeeira.csv,2025-08-02,1,almeidawedyson 28 28 392 392 3.013 3.013 Wedyson Almeida rolesinho,28,28,392,https://www.threads.com/@almeidawedyson?xmt=AQF018Hv1c3m4lUo1O_ISrk-uU5tD0syT0DhsuJnNtWJNWc,False,Pública,0,,,False,0,0,0
antonioap18,,False,,0,fazendeeira.csv,2025-08-02,1,antonioap18 3 3 74 74 67 67 Antônio AP,3,3,74,https://www.threads.com/@antonioap18?xmt=AQF081hPC-0VuQMyF8bKffvjerAP8yPAsa0s8Ixk1C1CRA8,False,Pública,0,,,False,0,0,0
jonathanantunes334,,False,,0,fazendeeira.csv,2025-08-02,1,jonathanantunes334 53 53 226 226 113 113 Jonathan Antunes,53,53,226,https://www.threads.com/@jonathanantunes334?xmt=AQF01mqPGl9eXXK6QBjLdAyzCZxiEKRJcqb7tNxK_DPEv6I,False,Pública,0,,,False,0,0,0
marcospetine,,False,,0,fazendeeira.csv,2025-08-02,1,marcospetine 31 31 202 202 178 178 Marcos Petine,31,31,202,https://www.threads.com/@marcospetine?xmt=AQF0L_7B7PEl6rWwBCpHlX4V-vO9xzod96vj7TUCONSolW0,False,Pública,0,,,False,0,0,0
rugama.yelba,,False,,0,fazendeeira.csv,2025-08-02,1,rugama.yelba 1 1 198 198 963 963 Yelba Rugama Destacada,1,1,198,,False,Pública,0,,,False,0,0,0
eaeryan__,,False,,0,fazendeeira.csv,2025-08-02,1,eaeryan__ 0 0 4.142 4.142 1.890 1.890 RYAN 👑 Resiliência e muita fé! 💍 RYAN 👑 Resiliência e muita fé! 💍,0,0,4142,,False,Pública,0,,,False,0,0,0
sergioviana.viana.925,,False,,0,fazendeeira.csv,2025-08-02,1,sergioviana.viana.925 12 12 677 677 4.041 4.041 Sergio Viana Viana,12,12,677,https://www.threads.com/@sergioviana.viana.925?xmt=AQF0CaRizB0VlJGvvoJYXBowys9B2cp_sC5ui-K24wOCAIw,False,Pública,0,,,False,0,0,0
graziele.sousa_oliveira8,,False,,0,fazendeeira.csv,2025-08-02,1,graziele.sousa_oliveira8 6 6 309 309 618 618 Grazi Oliveira,6,6,309,https://www.threads.com/@graziele.sousa_oliveira8?xmt=AQF0kmFQoO4TbT1nV_0JJLfgJOTeBAQWW2hkP6XWf57LTns,False,Pública,0,,,False,0,0,0
fergilsantos2021,,False,,0,fazendeeira.csv,2025-08-02,1,fergilsantos2021 2 2 382 382 5.170 5.170 Gilmar Ferreira Dos Santos,2,2,382,,False,Pública,0,,,False,0,0,0
alcione_tche,,False,,0,fazendeeira.csv,2025-08-02,1,,1106,1106,3158,,False,Erro inesperado,0,,,False,0,0,0
ioneborgesvilela,,False,,0,fazendeeira.csv,2025-08-02,1,ioneborgesvilela 1.709 1.709 1.292 1.292 1.882 1.882 Ione Borges,1709,1709,1292,,False,Pública,0,,,False,0,0,0
adriana_rodrigues_ribeiro_,,False,,0,fazendeeira.csv,2025-08-02,1,"adriana_rodrigues_ribeiro_ 98 98 400 400 1.394 1.394 Adriana Ribeiro 𝔍𝔬𝔞𝔬 𝔙𝔦𝔠𝔱𝔬𝔯👼 𝔍𝔬𝔞𝔮𝔲𝔦𝔫 𝔐𝔞𝔫𝔲𝔢𝔩👼 𝕬𝖒𝖔𝖗 𝖆𝖑𝖊𝖒 𝖉𝖆 𝖛𝖎𝖉𝖆. 𝔍𝔲𝔞𝔫 𝔓𝔞𝔟𝔩𝔬 🧑 Fɪʟʜᴏs,ᴠᴏᴄᴇ̂s ғᴏɪ ᴀ ʜɪsᴛᴏ́ʀɪᴀ ᴍᴀɪs ʟɪɴᴅᴀ ǫᴜᴇ Dᴇᴜs ᴇsᴄʀᴇᴠᴇᴜ... mais 𝔍𝔬𝔞𝔬 𝔙𝔦𝔠𝔱𝔬𝔯👼 𝔍𝔬𝔞𝔮𝔲𝔦𝔫 𝔐𝔞𝔫𝔲𝔢𝔩👼 𝕬𝖒𝖔𝖗 𝖆𝖑𝖊𝖒 𝖉𝖆 𝖛𝖎𝖉𝖆. 𝔍𝔲𝔞𝔫 𝔓𝔞𝔟𝔩𝔬 🧑 Fɪʟʜᴏs,ᴠᴏᴄᴇ̂s ғᴏɪ ᴀ ʜɪsᴛᴏ́ʀɪᴀ ᴍᴀɪs ʟɪɴᴅᴀ ǫᴜᴇ Dᴇᴜs ᴇsᴄʀᴇᴠᴇᴜ ... mais mais kwai-video.com/u/@Adrianasuper2023/JFXo9CWf",98,98,400,https://www.threads.com/@adriana_rodrigues_ribeiro_?xmt=AQF04FJ9IPttzi5qIKqHDtEiS3D6iI9Hq2TPj5B5p8en_f4,False,Pública,0,,,False,0,0,0
ferreiradesouzamariana86,,False,,0,fazendeeira.csv,2025-08-02,1,ferreiradesouzamariana86 15 15 354 354 316 316 Mariana Ferreira de Souza três tambores 🛢️e laços cumprido 🐎🤠,15,15,354,https://www.threads.com/@ferreiradesouzamariana86?xmt=AQF0XqxhaCveZeumGT5McTpFhRe9HvhafB6gfR2qmS-C72g,False,Pública,0,,,False,0,0,0
anakarinaa_silva,,False,,0,fazendeeira.csv,2025-08-02,1,anakarinaa_silva 6 6 650 650 451 451 Ana Karina • PP/MT •🇻🇦,6,6,650,https://www.threads.com/@anakarinaa_silva?xmt=AQF06AH23HG9shVUs6gsoP6XH14sk7sngCGhy0LXbtjFcbs,False,Pública,0,,,False,0,0,0
jonnas.vtr_,,False,,0,fazendeeira.csv,2025-08-02,1,jonnas.vtr_ 0 0 1.012 1.012 502 502 jonnas vitor téc. fotovoltaico jonnas vitor téc. fotovoltaico,0,0,1012,,False,Pública,0,,,False,0,0,0
liliaaparecida2,,False,,0,fazendeeira.csv,2025-08-02,1,liliaaparecida2 2 2 161 161 685 685 Lilia Aparecida,2,2,161,https://www.threads.com/@liliaaparecida2?xmt=AQF00B0hqIN2Oyn3x0JBfhjk6-ekLPI7BoasRE7zs6POatQ,False,Pública,0,,,False,0,0,0
gabigluz,,False,,0,fazendeeira.csv,2025-08-02,1,gabigluz 125 125 9.753 9.753 3.063 3.063 Gabi Luz Blog pessoal • Cascavel-PR 📍 • 32y 🦂 • Provérbios 16:3 🤍 Gol 🐎 🤍 Gol 🐎,125,125,9753,https://www.threads.com/@gabigluz?xmt=AQF0-uaqN88RHZYZsvb0oI8CAgWfBowCyEVpHuUZAZF_XYs,False,Pública,0,,,False,0,0,0
milenesuelem,,False,,0,fazendeeira.csv,2025-08-02,1,milenesuelem 29 29 1.528 1.528 1.386 1.386 ♡Miih♡ •Salmos 18:1 • Pedagogia 2/8📚 •20y ♡Miih♡ •Salmos 18:1 • Pedagogia 2/8📚 •20y . roça❤️ céu❤ facul 🙋‍♀️ 👀 roça😍 🙋‍♀️ . roça❤️ céu❤ facul 🙋‍♀️ 👀 roça😍,29,29,1528,,False,Pública,0,,,False,0,0,0
dudaflores_m,,False,,0,fazendeeira.csv,2025-08-02,1,dudaflores_m 55 55 8.286 8.286 373 373 Maria Eduarda,55,55,8286,https://www.threads.com/@dudaflores_m?xmt=AQF0iInP5UseBFZXVB0qk-vSfF4OEzhmau8r4ONNA8Z0pZk,False,Pública,0,,,False,0,0,0
ribeiro_.beatriz,,False,,0,fazendeeira.csv,2025-08-02,1,ribeiro_.beatriz 18 18 2.154 2.154 495 495 𝑩𝒆𝒂𝒕𝒓𝒊𝒛 𝑹𝒊𝒃𝒆𝒊𝒓𝒐 👑 . ✨. 🤍. 🤍. B 🩷💙 💅🏼 👑 🤍 🤍. B 🩷💙 💅🏼 👑 🤍,18,18,2154,https://www.threads.com/@ribeiro_.beatriz?xmt=AQF02netC6uiKTbaVvOLPmEYDDRn33nZrqDQLVtV9SYt30Y,False,Pública,0,,,False,0,0,0
queirozmayza123,,False,,0,fazendeeira.csv,2025-08-02,1,queirozmayza123 2 2 901 901 511 511 maiza sousa 🎀💍 maiza sousa 🎀💍,2,2,901,,False,Pública,0,,,False,0,0,0
boldman.a,,False,,0,fazendeeira.csv,2025-08-02,1,boldman.a 4 4 165 165 189 189 ana 💍 Bacharel em Direito. ana 💍 Bacharel em Direito.,4,4,165,,False,Pública,0,,,False,0,0,0
goldden__ash,,False,,0,fazendeeira.csv,2025-08-02,1,goldden__ash 8 8 1.342 1.342 1.173 1.173 Ash 🌱🌞🇭🇳✨♍️🌙💜 Ash 🌱🌞🇭🇳✨♍️🌙💜,8,8,1342,,False,Pública,0,,,False,0,0,0
eh_mimi.pzx,,False,,0,fazendeeira.csv,2025-08-02,1,eh_mimi.pzx 5 5 507 507 1.566 1.566 Mikaemilly Rodrigues da Silva Euu ~AMIGOS~🥰 Meu nenê ❤️ Euu ~AMIGOS~🥰 Meu nenê ❤️,5,5,507,,False,Pública,0,,,False,0,0,0
evellyn.hak_,,False,,0,fazendeeira.csv,2025-08-02,1,evellyn.hak_ 1 1 260 260 244 244 HAK 🇧🇷 046 @mateus_kratz 🤍 Matheus 18:22 📿 HAK 🇧🇷 046 @mateus_kratz 🤍 Matheus 18:22 📿,1,1,260,,False,Pública,0,,,False,0,0,0
robertolorenzo3,,False,,0,fazendeeira.csv,2025-08-02,1,robertolorenzo3 390 390 362 362 1.052 1.052 Roberto Lorenzo,390,390,362,https://www.threads.com/@robertolorenzo3?xmt=AQF0ELyDAzqEnBWI0X39jsACdsXXGUJ3PO9wFp4uYvggqag,False,Pública,0,,,False,0,0,0
joyceakino958,,False,,0,fazendeeira.csv,2025-08-02,1,joyceakino958 45 45 2.840 2.840 7.499 7.499 Joyce Akino O senhor é meu pastor e nada me faltará. 🙌❤ Mãe da Evellyn ❤😍👧 Joyce Akino O senhor é meu pastor e nada me faltará. 🙌❤ Mãe da Evellyn ❤😍👧,45,45,2840,,False,Pública,0,,,False,0,0,0
kayllannyttx,,False,,0,fazendeeira.csv,2025-08-02,1,kayllannyttx 292 292 2.277 2.277 661 661 kayllanny Criador(a) de conteúdo digital www.tiktok.com/@kayllannyttx?_t=ZM-8wzAcbnLiKs&_r=1 Alphahall DOKMOS NATU HAIR 💍💕 ㅤ ㅤ ㅤ ㅤ Alphahall DOKMOS NATU HAIR 💍💕 ㅤ,292,292,2277,,False,Pública,0,,,False,0,0,0
costaantonio81,,False,,0,fazendeeira.csv,2025-08-02,1,costaantonio81 315 315 305 305 3.026 3.026 Antonio Costa,315,315,305,,False,Pública,0,,,False,0,0,0
claraasantoss24,,False,,0,fazendeeira.csv,2025-08-02,1,claraasantoss24 86 86 2.597 2.597 674 674 Anna_Santoss Pi🌵 ✨ Sempre volte para casa 🍃 Endrick Ravi 👣💙Yuri itael 👼🏼 Filha do rei 👑🙏❤️ Anna_Santoss Pi🌵 ✨ Sempre volte para casa 🍃 Endrick Ravi 👣💙Yuri itael 👼🏼 Filha do rei 👑🙏❤️ 🤌🏼❤️💇🏻‍♀️ Endrick 💙💚 ☀️❤️ 🌚⚡️ 💫 💕 🩷 🍃 ☀️🍃 🍃 🍃 Família ✨❤️ 🫦 Academia 💪🏼🧠🫀 🤌🏼❤️💇🏻‍♀️ Endrick 💙💚 ☀️❤️ 🌚⚡️ 💫 💕 🩷 🍃 ☀️🍃 Família ✨❤️ 🫦 Academia 💪🏼🧠🫀,86,86,2597,,False,Pública,0,,,False,0,0,0
seratayacastro,,False,,0,fazendeeira.csv,2025-08-02,1,seratayacastro 8 8 670 670 1.105 1.105 Edison Serataya Castro Destacada Destacada Destacada,8,8,670,https://www.threads.com/@seratayacastro?xmt=AQF0mnybL-4UFKyWiQB_sVKYrbETMm0JqVYthaDbc0Yd-x4,False,Pública,0,,,False,0,0,0
styvenneit_oficial,,False,,0,fazendeeira.csv,2025-08-02,1,"styvenneit_oficial 198 198 14,9 mil 14,9 mil 7.157 7.157 Styven Neit El Del Azaro ... mais mais youtu.be/GFE4DMVDvRA e mais 2 shows Caracol Fans Emisoras 🎚️📻 shows Caracol Fans Emisoras 🎚️📻",198,198,14900,,False,Pública,0,,,False,0,0,0
salimcoe,,False,,0,fazendeeira.csv,2025-08-02,1,salimcoe 234 234 254 254 7.500 7.500 Salim Coe,234,234,254,,False,Pública,0,,,False,0,0,0
yorgoq8,,False,,0,fazendeeira.csv,2025-08-02,1,yorgoq8 64 64 1.279 1.279 7.463 7.463 Geo Work hard 🤓 play harder 🏋️⛹️‍♂️🏄 🇦🇺🇱🇧📍Kuwait,64,64,1279,https://www.threads.com/@yorgoq8?xmt=AQF0dB3Mu0e-adBAkC26MflJV2iP55tq7-Af9-odmsZ28mY,False,Pública,0,,,False,0,0,0
juliaakossmann,,False,,0,fazendeeira.csv,2025-08-02,1,juliaakossmann 0 0 526 526 124 124 ꩜ | the art of living. vs.co/nkznwybl 🐈‍⬛ 🌞 🐈‍⬛ 🌞,0,0,526,,False,Pública,0,,,False,0,0,0
janderson_0llyveira,,False,,0,fazendeeira.csv,2025-08-02,1,janderson_0llyveira 0 0 1.417 1.417 1.254 1.254 JANDERSON 🤑 JANDERSON 🤑,0,0,1417,,False,Pública,0,,,False,0,0,0
lais_santohs,,False,,0,fazendeeira.csv,2025-08-02,1,lais_santohs 0 0 1.363 1.363 693 693 Laís_santohs 🤍 ✝️ Laís_santohs 🤍 ✝️,0,0,1363,,False,Pública,0,,,False,0,0,0
amandabarbosa_guimaraes,,False,,0,fazendeeira.csv,2025-08-02,1,amandabarbosa_guimaraes 0 0 69 69 63 63 Amanda barbosa Guimarães,0,0,69,,False,Pública,0,,,False,0,0,0
v.silas.p_,,False,,0,fazendeeira.csv,2025-08-02,1,v.silas.p_ 19 19 281 281 320 320 Valdinei Silas valdinei.s.a.pereira🫶 Valdinei Silas valdinei.s.a.pereira🫶 Destaques Destaques Destaques Destaques Destaques Destaques Destaques,19,19,281,,False,Pública,0,,,False,0,0,0
vilmar2843,,False,,0,fazendeeira.csv,2025-08-02,1,vilmar2843 0 0 348 348 430 430 Vilmar Pereira,0,0,348,,False,Pública,0,,,False,0,0,0
fontouramilhomem,,False,,0,fazendeeira.csv,2025-08-02,1,,19,19,2315,,False,Erro inesperado,0,,,False,0,0,0
fazendacapivari,,False,,0,fazendeeira.csv,2025-08-02,1,"fazendacapivari 437 437 8.649 8.649 5.333 5.333 Antônio Maurício, Mayara e Maria Antônia. - VENDA DE ANIMAIS - Med. Vet. Reprodução 🐴 🐮 📞(64)3547-9202 📲(64) 999161001 •Fa... mais - VENDA DE ANIMAIS - Med. Vet. Reprodução 🐴 🐮 📞(64)3547-9202 📲(64) 999161001 •Fa ... mais mais Disponível QM Destaques Rosca da M.A. CONQUEST JACK CONQUEST JACK 2 Iporá 2022 Destaques Repro 20/21 Fé 🙏 Faz. Capivari TE Reprodução 🐴 Geração 19/20 Iporá 2020 Disponível QM Destaques Rosca da M.A. CONQUEST JACK CONQUEST JACK 2 Iporá 2022 Repro 20/21 Fé 🙏 Faz. Capivari TE Reprodução 🐴 Geração 19/20 Iporá 2020",437,437,8649,https://www.threads.com/@fazendacapivari?xmt=AQF0cOnI0VtMwfp2OIyxG5FFVNrAf_WDQ0AKTNfFwXOvmyU,False,Pública,0,,,False,0,0,0
andreia.m.farias,,False,,0,fazendeeira.csv,2025-08-02,1,andreia.m.farias 172 172 2.702 2.702 2.089 2.089 Andreia Melo Farias ...casada💍 mãe🧒👩‍💼🧑 Andreia Melo Farias ...casada💍 mãe🧒👩‍💼🧑,172,172,2702,,False,Pública,0,,,False,0,0,0
herbstnatiele_,,False,,0,fazendeeira.csv,2025-08-02,1,herbstnatiele_ 48 48 1.900 1.900 964 964 Natiele_H🇧🇷🪶 .RO🏡 .agricultura 👩‍🌾 .🤠Paixão pela cultura sertaneja. 💚 .casada - ronei_Lucas💍❤ Natiele_H🇧🇷🪶 .RO🏡 .agricultura 👩‍🌾 .🤠Paixão pela cultura sertaneja. 💚 .casada - ronei_Lucas💍❤ 🏞 🐮⚙🇧🇷 Miguel 💙 🌱☕ 💖 •💏• 💍 🏞 🐮⚙🇧🇷 Miguel 💙 🌱☕ 💖 •💏• 💍,48,48,1900,,False,Pública,0,,,False,0,0,0
damires_bezerrabc,,False,,0,fazendeeira.csv,2025-08-02,1,damires_bezerrabc 3 3 2.144 2.144 754 754 Damires Bezerra 🩷ㅤ Destaques 🩷ㅤ Destaques,3,3,2144,https://www.threads.com/@damires_bezerrabc?xmt=AQF0SssdtrszTCUQWfdMHG0XJiCknd_fty8dUJ0kRiQ93O8,False,Pública,0,,,False,0,0,0
ilazirnascimento,,False,,0,fazendeeira.csv,2025-08-02,1,ilazirnascimento 0 0 326 326 845 845 Ilazir Barros🩷🙏 🙏❤️ Ilazir Barros🩷🙏 🙏❤️ 🥰😍 🥰😻 😪😭 💚🌱🌾 😍🥰 Meu amor 😍 🥰😍 🥰😻 😪😭 💚🌱🌾 😍🥰 Meu amor 😍,0,0,326,,False,Pública,0,,,False,0,0,0
lorrainemarcondesdos,,False,,0,fazendeeira.csv,2025-08-02,1,lorrainemarcondesdos 1 1 1.032 1.032 1.813 1.813 lorraine marcondes dos santos @danielortizdomakoski💍❤ lorraine marcondes dos santos @danielortizdomakoski💍❤,1,1,1032,,False,Pública,0,,,False,0,0,0
morenomatheussoares,,False,,0,fazendeeira.csv,2025-08-02,1,morenomatheussoares 2 2 18 18 41 41 Matheus Soares Moreno,2,2,18,,False,Pública,0,,,False,0,0,0
raianny_aalves,,False,,0,fazendeeira.csv,2025-08-02,1,raianny_aalves 7 7 692 692 1.285 1.285 raianny alves Raianny GO📍 competidora de três tambores🐴💗 raianny alves Raianny GO📍 competidora de três tambores🐴💗 R' place's favs' R' place's favs',7,7,692,,False,Pública,0,,,False,0,0,0
analicemdrs_,,False,,0,fazendeeira.csv,2025-08-02,1,analicemdrs_ 1 1 597 597 706 706 aninha medeiros v!vaz. 🤍 aninha medeiros v!vaz. 🤍,1,1,597,,False,Pública,0,,,False,0,0,0
alice_gvn_,,False,,0,fazendeeira.csv,2025-08-02,1,alice_gvn_ 0 0 595 595 641 641 Alice Gravena 🇱🇷🪶 💍 Alice Gravena 🇱🇷🪶 💍,0,0,595,,False,Pública,0,,,False,0,0,0
magnonegreiro2024,,False,,0,fazendeeira.csv,2025-08-02,1,magnonegreiro2024 0 0 506 506 1.327 1.327 Magno Negreiro,0,0,506,https://www.threads.com/@magnonegreiro2024?xmt=AQF0Pzkt0feIbmxWYqLfAQ53JO51Exh0A1FGBkrcw82lWuY,False,Pública,0,,,False,0,0,0
pedaco_do_interior_,,False,,0,fazendeeira.csv,2025-08-02,1,pedaco_do_interior_ 51 51 3.580 3.580 7.500 7.500 Pedaço do Interior_agro_Body_plus_moda_cowtry Criador(a) de conteúdo digital ▪ 🤠 tropa,51,51,3580,https://www.threads.com/@pedaco_do_interior_?xmt=AQF0y72lW7k65aIePS7wlSJzRrEH89_3QuuXTwa4LBA-iac,False,Pública,0,,,False,0,0,0
evilythacyla,,False,,0,fazendeeira.csv,2025-08-02,1,"evilythacyla 53 53 3.963 3.963 1.448 1.448 Evily Borges Blog pessoal •Téc.Radiologia 📚☢ •Téc.Saúde Bucal🦷 “Por causa da sua fé, vai acontecer.” Mateus 9:29🙏🏻✨ 💁🏼‍♀️ Bebês ❤️ 💁🏼‍♀️ Neve Maria💖 💁🏼‍♀️ Bebês ❤️ Neve Maria💖",53,53,3963,https://www.threads.com/@evilythacyla?xmt=AQF0ddRJ8QYACjL1kYjMlfhss9qb-sx89brc4rPQArITM9o,False,Pública,0,,,False,0,0,0
fernandogomes8414,,False,,0,fazendeeira.csv,2025-08-02,1,fernandogomes8414 0 0 1.318 1.318 5.358 5.358 Fernando Gomes Pereira,0,0,1318,,False,Pública,0,,,False,0,0,0
cg7784094,,False,,0,fazendeeira.csv,2025-08-02,1,cg7784094 1 1 451 451 4.574 4.574 Carlos Gouveia,1,1,451,,False,Pública,0,,,False,0,0,0
claudio__campos_,,False,,0,fazendeeira.csv,2025-08-02,1,claudio__campos_ 0 0 7 7 10 10 Sebastião Claudio Campos,0,0,7,,False,Pública,0,,,False,0,0,0
artur.nico.ana,,False,,0,fazendeeira.csv,2025-08-02,1,artur.nico.ana 9 9 13 13 67 67 artur ximenes de oliveira,9,9,13,,False,Pública,0,,,False,0,0,0
edmar_ferreira_locutor,,False,,0,fazendeeira.csv,2025-08-02,1,edmar_ferreira_locutor 53 53 752 752 788 788 Edmar Ferreira Ferreira Artista Locutor 🎤 e compositor ✍️ Destaques Ferreira eu Destaques Ferreira eu,53,53,752,https://www.facebook.com/profile.php?id=100015193388028&ref=_ig_profile_ac,False,Pública,0,,,False,0,0,0
talizeira_,,False,,0,fazendeeira.csv,2025-08-02,1,talizeira_ 0 0 517 517 924 924 Talisson Almeida '-' Talisson Almeida '-',0,0,517,,False,Pública,0,,,False,0,0,0
luansilva.07,,False,,0,fazendeeira.csv,2025-08-02,1,luansilva.07 60 60 496 496 3.338 3.338 Luan Silva,60,60,496,https://www.threads.com/@luansilva.07?xmt=AQF05a2Ws22BAE8LgouNHN6XRTDXz4bvlAFkFQvLC3VKt-E,False,Pública,0,,,False,0,0,0
cleiton6,,False,,0,fazendeeira.csv,2025-08-02,1,cleiton6 32 32 1.234 1.234 2.982 2.982 Cleiton Dias ( Ney ) • Votuporanga <-> Ilha Solteira • Zootecnia - Unesp FEIS • Téc. Agropecuária,32,32,1234,https://www.threads.com/@cleiton6?xmt=AQF0nzVqwpdGXwRZwqIooKv86uYr72SCrKJJYKg_ymWo0OY,False,Pública,0,,,False,0,0,0
luh_amaral_oliveira,,False,,0,fazendeeira.csv,2025-08-02,1,"luh_amaral_oliveira 24 24 1.076 1.076 934 934 Luh_🦋 🙇‍♀️💖✨ 📍RS 28/ 04 /2025 💍🥰 23/ 01 /2024👶🕊 Filha do rei e herdeira de suas promessas ✨️🙏 www.tiktok.com/@luana_amaral_oliveira?_t=ZM-8uthzFl36Tm&_r=1 .🫀 . 💍 👩‍❤️‍👨 🧉 🍻 🤞🏻 ,, 💕 .🫀 . 💍 👩‍❤️‍👨 🧉 🍻 🤞🏻 ,, 💕",24,24,1076,https://www.threads.com/@luh_amaral_oliveira?xmt=AQF0pnLi5g7UUmLMgRqap2EZEXwy-D6AqMJsZho93RVSK8o,False,Pública,0,,,False,0,0,0
_dieggo_silva,,False,,0,fazendeeira.csv,2025-08-02,1,_dieggo_silva 0 0 1.025 1.025 737 737 Dieggo⚡️,0,0,1025,,False,Pública,0,,,False,0,0,0
pedro_leocadio12,,False,,0,fazendeeira.csv,2025-08-02,1,pedro_leocadio12 0 0 1.518 1.518 891 891 Pedro Henrique 💍 Pedro Henrique 💍,0,0,1518,,False,Pública,0,,,False,0,0,0
moo_medeiros,,False,,0,fazendeeira.csv,2025-08-02,1,"moo_medeiros 11 11 1.346 1.346 393 393 Monique Medeiros ""Livrai-me de todo o mal, Amém."" 🙏🏻✨ Monique Medeiros ""Livrai-me de todo o mal, Amém."" 🙏🏻✨",11,11,1346,,False,Pública,0,,,False,0,0,0
miiriasantoss,,False,,0,fazendeeira.csv,2025-08-02,1,miiriasantoss 6 6 2.241 2.241 926 926 Miriã Santos Biologia- 6/8 🧬🧫🧪 •066|🇧🇷 GO🔁MT Miriã Santos Biologia- 6/8 🧬🧫🧪 •066|🇧🇷 GO🔁MT ☀️☁️ M ☀️☁️ M,6,6,2241,,False,Pública,0,,,False,0,0,0
gilsimarmendesdon,,False,,0,fazendeeira.csv,2025-08-02,1,gilsimarmendesdon 216 216 896 896 5.884 5.884 Gilsimar Mendes Do Nascimento,216,216,896,,False,Pública,0,,,False,0,0,0
tarcisio4349,,False,,0,fazendeeira.csv,2025-08-02,1,tarcisio4349 4 4 736 736 3.629 3.629 Tarcisio Marques de Oliveira Destaques Destaques Destaques Destaques Destaques Destaques Destaques,4,4,736,,False,Pública,0,,,False,0,0,0
flavinn_.jr,,False,,0,fazendeeira.csv,2025-08-02,1,,157,157,17100,,False,Erro inesperado,0,,,False,0,0,0
felipeeribeiromarins,,False,,0,fazendeeira.csv,2025-08-02,1,felipeeribeiromarins 17 17 1.608 1.608 2.599 2.599 Felipe Ribeiro Marins • Medicina Veterinária ⚕️ • GO •19 Eu,17,17,1608,https://www.threads.com/@felipeeribeiromarins?xmt=AQF0x7dFJ4RSQD8lfZsMszREpjRX2MoK81IWlGe6hcK6IZw,False,Pública,0,,,False,0,0,0
erlanesluz,,False,,0,fazendeeira.csv,2025-08-02,1,erlanesluz 26 26 189 189 365 365 Erlane Luz Ela é como uma fênix 🐦‍🔥 ❤️💍 London-UK 🌍 🇧🇴🇵🇾 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇫🇷 🇵🇹 🇮🇹 🇪🇸 🇨🇭 🇳🇱 🇧🇪 🇮🇪🇺🇸 www.tiktok.com/@erlanesluz?_t=ZN-8vq0hwm8tvi&_r=1 ❤️ 2025 ❤️ 2025,26,26,189,,False,Pública,0,,,False,0,0,0
